Basin,Subbasin,Date,Year,Month,Avg_rainfall,Agency_name
Brahmani and Baitarni Basin,Brahmani,2022-01-10,2022,01,0.488455196,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-11,2022,01,0.383636456,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-03,2022,01,0.000631231,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-05,2022,01,0.001029324,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-06,2022,01,0.000373167,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-07,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-09,2022,01,0.001173019,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-16,2022,01,0.000216275,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-17,2022,01,0.00191422,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-18,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-19,2022,01,0.000514662,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-20,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-23,2022,01,0.32787262,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-24,2022,01,4.683728981,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-12,2022,01,22.3015478,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-13,2022,01,4.039442667,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-14,2022,01,16.58677582,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-15,2022,01,2.367781969,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-21,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-22,2022,01,0.086862025,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-27,2022,01,0.194328854,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-28,2022,01,0.000601905,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-29,2022,01,0,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-25,2022,01,0.008723593,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-26,2022,01,0.001895158,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-30,2022,01,0.001576977,NRSC VIC MODEL
Brahmani and Baitarni Basin,Brahmani,2022-01-01,2022,01,0.001173019,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-04,2022,01,0.043506276,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-08,2022,01,0.002047271,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-10,2022,01,0.043646982,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-11,2022,01,14.50963864,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-03,2022,01,1.185466883,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-05,2022,01,0,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-06,2022,01,0.000175882,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-07,2022,01,0,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-09,2022,01,0.044825395,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-15,2022,01,0.860926876,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-16,2022,01,0.031581448,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-17,2022,01,2.358023995,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-18,2022,01,0.822178219,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-19,2022,01,0.000299,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-20,2022,01,0,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-23,2022,01,0.000422118,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-24,2022,01,0.003139501,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-25,2022,01,1.041837778,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-12,2022,01,0.149475437,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-13,2022,01,0.180323455,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-14,2022,01,0.007738827,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-21,2022,01,0.000492471,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-22,2022,01,0.000351765,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-27,2022,01,0.007413444,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-28,2022,01,0.397480207,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-29,2022,01,0.116339188,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-26,2022,01,0.0007176,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-30,2022,01,1.735358004,NRSC VIC MODEL
Cauvery Basin,Cauvery Lower,2022-01-01,2022,01,10.80269846,NRSC VIC MODEL
Cauvery Basin,Cauvery Middle,2022-01-04,2022,01,0.002664217,NRSC VIC MODEL
Cauvery Basin,Cauvery Middle,2022-01-08,2022,01,0.061125273,NRSC VIC MODEL
Cauvery Basin,Cauvery Middle,2022-01-10,2022,01,0.000466238,NRSC VIC MODEL
Cauvery Basin,Cauvery Middle,2022-01-11,2022,01,0.164838897,NRSC VIC MODEL
Cauvery Basin,Cauvery Middle,2022-01-03,2022,01,0.1067484,NRSC VIC MODEL
Cauvery Basin,Cauvery Middle,2022-01-05,2022,01,0.004096762,NRSC VIC MODEL
